contentId,title,description,location,start,source,type,currencyCode,amount,url,distance
1,Boston Red Sox vs. New York Yankees,event,Unknown Address,2025-06-13 19:10:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ubxF,0.11130615191110424
2,Boston Red Sox vs. New York Yankees,event,Unknown Address,2025-06-14 19:15:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ubxa,0.11130615191110424
3,Boston Red Sox vs. New York Yankees,event,Unknown Address,2025-06-15 13:35:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ubx8,0.11130615191110424
4,Boston Red Sox vs. Los Angeles Dodgers,event,Unknown Address,2025-07-25 19:10:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub07,0.11130615191110424
5,Boston Red Sox vs. Los Angeles Dodgers,event,Unknown Address,2025-07-26 19:15:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub0A,0.11130615191110424
6,Boston Red Sox vs. Los Angeles Dodgers,event,Unknown Address,2025-07-27 13:35:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub0k,0.11130615191110424
7,Boston Red Sox vs. New York Yankees,event,Unknown Address,2025-09-12 19:10:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub00,0.11130615191110424
8,Boston Red Sox vs. New York Yankees,event,Unknown Address,2025-09-13 16:10:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub0P,0.11130615191110424
9,Boston Red Sox vs. New York Yankees,event,Unknown Address,2025-09-14 13:35:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub0J,0.11130615191110424
10,Boston Bruins vs. Chicago Blackhawks,event,Unknown Address,2025-04-10 19:00:00,Ticketmaster,Hockey,USD,75.0,https://www.ticketmaster.com/boston-bruins-vs-chicago-blackhawks-boston-massachusetts-04-10-2025/event/010060D9D510742C,4.086601319748564
11,Boston Bruins vs. Carolina Hurricanes,event,Unknown Address,2025-04-05 19:00:00,Ticketmaster,Hockey,USD,140.0,https://www.ticketmaster.com/boston-bruins-vs-carolina-hurricanes-boston-massachusetts-04-05-2025/event/010060D9D50B7427,4.086601319748564
12,Boston Bruins vs. New Jersey Devils,event,Unknown Address,2025-04-15 19:00:00,Ticketmaster,Hockey,USD,85.0,https://www.ticketmaster.com/boston-bruins-vs-new-jersey-devils-boston-massachusetts-04-15-2025/event/010060D9D516743A,4.086601319748564
13,Boston Celtics vs. Charlotte Hornets,event,Unknown Address,2025-04-13 13:00:00,Ticketmaster,Basketball,USD,111.5,https://www.ticketmaster.com/boston-celtics-vs-charlotte-hornets-boston-massachusetts-04-13-2025/event/010060EBE518742A,4.086601319748564
14,Boston Celtics vs. Miami Heat,event,Unknown Address,2025-04-02 19:30:00,Ticketmaster,Basketball,USD,87.5,https://www.ticketmaster.com/boston-celtics-vs-miami-heat-boston-massachusetts-04-02-2025/event/010060EBE4FA739D,4.086601319748564
15,Boston Celtics vs. Washington Wizards,event,Unknown Address,2025-04-06 18:00:00,Ticketmaster,Basketball,USD,87.5,https://www.ticketmaster.com/boston-celtics-vs-washington-wizards-boston-massachusetts-04-06-2025/event/010060EBE50673BF,4.086601319748564
16,Boston Celtics vs. Phoenix Suns,event,Unknown Address,2025-04-04 19:30:00,Ticketmaster,Basketball,USD,144.5,https://www.ticketmaster.com/boston-celtics-vs-phoenix-suns-boston-massachusetts-04-04-2025/event/010060EBE50073B0,4.086601319748564
17,Boston Bruins vs. Washington Capitals,event,Unknown Address,2025-04-01 19:00:00,Ticketmaster,Hockey,USD,140.0,https://www.ticketmaster.com/boston-bruins-vs-washington-capitals-boston-massachusetts-04-01-2025/event/010060D9D50673DE,4.086601319748564
18,Boston Celtics vs. Charlotte Hornets,event,Unknown Address,2025-04-11 19:30:00,Ticketmaster,Basketball,USD,91.5,https://www.ticketmaster.com/boston-celtics-vs-charlotte-hornets-boston-massachusetts-04-11-2025/event/010060EBE50E73FF,4.086601319748564
19,Monster Jam,event,Unknown Address,2025-04-12 17:00:00,Ticketmaster,Motorsports,USD,20.0,https://www.ticketmaster.com/monster-jam-foxborough-massachusetts-04-12-2025/event/01006110DFB491AC,31.32817806667135
20,Deftones - North American Tour 2025,event,Unknown Address,2025-04-08 19:00:00,Ticketmaster,Metal,USD,39.5,https://www.ticketmaster.com/deftones-north-american-tour-2025-boston-massachusetts-04-08-2025/event/0100612CB08C74B4,4.086601319748564
21,Dog Walking Club,I love walking my dogs at the local park and would love more people to join for coffee and dog walk!,"The Bluffs of Kildaire, Cary, NC 27518, USA",2025-01-25 10:00:00,Host,Pets,USD,0,253 675 8912,0
