contentId,title,description,location,start,source,type,currencyCode,amount,url,distance
1,Boston Bruins vs. Buffalo Sabres,event,"North Station, 135 Causeway St, Boston, MA 02114, USA",2024-12-21 19:00:00,Ticketmaster,Hockey,USD,135.0,https://www.ticketmaster.com/boston-bruins-vs-buffalo-sabres-boston-massachusetts-12-21-2024/event/010060D9D5857613,4.888174217313091
2,Boston Bruins vs. Columbus Blue Jackets,event,"North Station, 135 Causeway St, Boston, MA 02114, USA",2024-12-28 19:00:00,Ticketmaster,Hockey,USD,170.0,https://www.ticketmaster.com/boston-bruins-vs-columbus-blue-jackets-boston-massachusetts-12-28-2024/event/010060D9D58F7631,4.888174217313091
3,Boston Red Sox vs. New York Yankees,event,"829 Beacon St, Boston, MA 02215, USA",2025-06-13 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ubxF,1.4362103096824355
4,Boston Red Sox vs. New York Yankees,event,"829 Beacon St, Boston, MA 02215, USA",2025-06-14 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ubxa,1.4362103096824355
5,Boston Red Sox vs. New York Yankees,event,"829 Beacon St, Boston, MA 02215, USA",2025-06-15 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ubx8,1.4362103096824355
6,Boston Red Sox vs. Los Angeles Dodgers,event,"829 Beacon St, Boston, MA 02215, USA",2025-07-25 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub07,1.4362103096824355
7,Boston Red Sox vs. Los Angeles Dodgers,event,"829 Beacon St, Boston, MA 02215, USA",2025-07-26 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub0A,1.4362103096824355
8,Boston Red Sox vs. Los Angeles Dodgers,event,"829 Beacon St, Boston, MA 02215, USA",2025-07-27 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub0k,1.4362103096824355
9,Boston Red Sox vs. New York Yankees,event,"829 Beacon St, Boston, MA 02215, USA",2025-09-12 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub00,1.4362103096824355
10,Boston Red Sox vs. New York Yankees,event,"829 Beacon St, Boston, MA 02215, USA",2025-09-13 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub0P,1.4362103096824355
11,Boston Red Sox vs. New York Yankees,event,"829 Beacon St, Boston, MA 02215, USA",2025-09-14 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub0J,1.4362103096824355
